bucket,feature,target,type,n,pearson_r,pearson_p,spearman_r,spearman_p,n_true,n_false,mean_true,mean_false,diff
A: subscription-time,total_ipo_size_usd,day1_performance_pct,continuous,248,-0.017109771620354958,0.7886197817141269,0.0056830242142671085,0.9290462003223015,,,,,
A: subscription-time,total_ipo_size_usd,perf_1m_pct,continuous,246,-0.037502571302957685,0.5582687193705423,0.09812251560541672,0.12481841731748063,,,,,
A: subscription-time,total_ipo_size_usd,perf_3m_pct,continuous,246,-0.032456834211972124,0.6124311055969741,0.16542172807128627,0.009342613846040813,,,,,
A: subscription-time,total_ipo_size_usd,ipo_perf_1y_pct,continuous,177,0.028893421738658765,0.7026407752276952,0.17398031863087593,0.020561059167550633,,,,,
A: subscription-time,pricing_position,day1_performance_pct,continuous,116,0.014790993405014038,0.8747820290671617,-0.00023454182210392956,0.9980062993612943,,,,,
A: subscription-time,pricing_position,perf_1m_pct,continuous,116,-0.01297815922553194,0.8900261599140564,0.006202976417409324,0.9473099768461413,,,,,
A: subscription-time,pricing_position,perf_3m_pct,continuous,116,-0.134168726241082,0.15103280526622795,-0.11716912951163791,0.21035016248809446,,,,,
A: subscription-time,pricing_position,ipo_perf_1y_pct,continuous,98,-0.1037934544306123,0.3091203902532581,-0.17092741161656186,0.09241524353518926,,,,,
A: subscription-time,hsi_return_30d_prior_pct,day1_performance_pct,continuous,248,0.07289682894292668,0.2527468207384994,0.16019683884118638,0.01152466356177776,,,,,
A: subscription-time,hsi_return_30d_prior_pct,perf_1m_pct,continuous,246,0.02884395968935236,0.6525739175344192,0.08355624261288364,0.1915053508749537,,,,,
A: subscription-time,hsi_return_30d_prior_pct,perf_3m_pct,continuous,246,0.012890516523971267,0.8405746691269576,0.10041845733904924,0.11619344825516705,,,,,
A: subscription-time,hsi_return_30d_prior_pct,ipo_perf_1y_pct,continuous,177,-0.038175048958460925,0.6139301062200274,-0.002120906841357478,0.9776486408704801,,,,,
A: subscription-time,hsi_return_90d_prior_pct,day1_performance_pct,continuous,248,0.08433961546408547,0.18555904341841997,0.1364730578292903,0.031683283405805916,,,,,
A: subscription-time,hsi_return_90d_prior_pct,perf_1m_pct,continuous,246,-0.0028741436290719083,0.9642271295888384,0.04308524287299801,0.5011787420877021,,,,,
A: subscription-time,hsi_return_90d_prior_pct,perf_3m_pct,continuous,246,-0.0077344262391246255,0.903933662667586,0.06874056845670129,0.2828526004113615,,,,,
A: subscription-time,hsi_return_90d_prior_pct,ipo_perf_1y_pct,continuous,177,-0.004363683259995893,0.9540322236615851,0.05373836078767704,0.4774620686629678,,,,,
A: subscription-time,prior5_day1_mean,day1_performance_pct,continuous,245,0.22948985386564508,0.00029213542432250265,0.17791020385047746,0.005225260284619858,,,,,
A: subscription-time,prior5_day1_mean,perf_1m_pct,continuous,243,0.2773983181684559,1.1421782673510258e-05,0.16692773648703793,0.009132709417205814,,,,,
A: subscription-time,prior5_day1_mean,perf_3m_pct,continuous,243,0.13348301870423035,0.03758248362906275,0.11788240779364563,0.06657517536494213,,,,,
A: subscription-time,prior5_day1_mean,ipo_perf_1y_pct,continuous,174,-0.021583590881215805,0.777416052907893,0.0930187528439221,0.22215933536282786,,,,,
A: subscription-time,hibor_1m_on_ipo_pct,day1_performance_pct,continuous,248,-0.1286704072964691,0.042919792784663326,-0.10419393755265687,0.10162696082119306,,,,,
A: subscription-time,hibor_1m_on_ipo_pct,perf_1m_pct,continuous,246,-0.08409480401599582,0.18864860747615847,-0.07350471832340594,0.2507378797985545,,,,,
A: subscription-time,hibor_1m_on_ipo_pct,perf_3m_pct,continuous,246,-0.10374869992847174,0.10451877540076986,-0.07902041297968193,0.21682813399848908,,,,,
A: subscription-time,hibor_1m_on_ipo_pct,ipo_perf_1y_pct,continuous,177,0.06892276480335616,0.36200804611413584,-0.004429614744160853,0.9533384699485457,,,,,
A: subscription-time,cornerstone_pct_of_deal,day1_performance_pct,continuous,118,-0.17477047187721562,0.05837395652061699,-0.10548279527230332,0.25561625133400395,,,,,
A: subscription-time,cornerstone_pct_of_deal,perf_1m_pct,continuous,116,-0.1322727714539408,0.1569452182912198,-0.019113520162995428,0.8386284824840582,,,,,
A: subscription-time,cornerstone_pct_of_deal,perf_3m_pct,continuous,116,-0.003729208293830902,0.9683084113525728,-0.026540575865913196,0.7773263941475614,,,,,
A: subscription-time,cornerstone_pct_of_deal,ipo_perf_1y_pct,continuous,75,-0.060244682803775776,0.6076449772542164,-0.2114935988620199,0.06853254577273579,,,,,
A: subscription-time,priced_at_floor,day1_performance_pct,binary,248,,0.3014951546611584,,,51.0,197.0,27.663333333333327,16.77781725888325,10.885516074450077
A: subscription-time,priced_at_floor,perf_1m_pct,binary,246,,0.4344603760529101,,,51.0,195.0,36.7129405006495,25.95325301076775,10.759687489881752
A: subscription-time,priced_at_floor,perf_3m_pct,binary,246,,0.34986419815938485,,,51.0,195.0,65.74185719712536,45.08203514155025,20.659822055575106
A: subscription-time,priced_at_floor,ipo_perf_1y_pct,binary,177,,0.4257222301664101,,,44.0,133.0,47.42556545454545,18.45724454887218,28.96832090567327
A: subscription-time,priced_at_cap,day1_performance_pct,binary,248,,0.26417272564382077,,,26.0,222.0,31.028846153846157,17.609504504504507,13.41934164934165
A: subscription-time,priced_at_cap,perf_1m_pct,binary,246,,0.7860012637033785,,,26.0,220.0,32.87957502913722,27.628978872160307,5.250596156976915
A: subscription-time,priced_at_cap,perf_3m_pct,binary,246,,0.34097036711375805,,,26.0,220.0,28.680547075216847,51.809715207727514,-23.129168132510667
A: subscription-time,priced_at_cap,ipo_perf_1y_pct,binary,177,,0.42651896913546394,,,17.0,160.0,4.699411764705881,27.885302531249998,-23.185890766544116
A: subscription-time,is_chapter_18a,day1_performance_pct,binary,248,,0.06831943994857703,,,27.0,221.0,42.22518518518518,16.18090497737557,26.044280207809614
A: subscription-time,is_chapter_18a,perf_1m_pct,binary,246,,0.12018454540663276,,,27.0,219.0,60.366982795417755,24.21614505550939,36.15083773990837
A: subscription-time,is_chapter_18a,perf_3m_pct,binary,246,,0.14456006403851998,,,27.0,219.0,108.19371650705112,42.11233435600599,66.08138215104513
A: subscription-time,is_chapter_18a,ipo_perf_1y_pct,binary,177,,0.16029490229240725,,,17.0,160.0,-12.394382352941177,29.70151815625,-42.095900509191175
A: subscription-time,is_h_share,day1_performance_pct,binary,248,,0.2980908282992693,,,130.0,118.0,22.33123076923077,15.364406779661016,6.966823989569756
A: subscription-time,is_h_share,perf_1m_pct,binary,246,,0.24344042252622963,,,128.0,118.0,33.83319567341661,22.055892003690754,11.777303669725857
A: subscription-time,is_h_share,perf_3m_pct,binary,246,,0.15751163997875026,,,128.0,118.0,60.403314040349734,37.391587902465474,23.01172613788426
A: subscription-time,is_h_share,ipo_perf_1y_pct,binary,177,,0.9744170130206111,,,79.0,98.0,26.3227333164557,25.122882377551026,1.1998509389046745
A: subscription-time,has_cornerstone,day1_performance_pct,binary,248,,0.07091519970269713,,,181.0,67.0,14.141712707182323,32.185223880597015,-18.043511173414693
A: subscription-time,has_cornerstone,perf_1m_pct,binary,246,,0.24725699091317996,,,179.0,67.0,23.829139106794987,39.81833436591839,-15.989195259123402
A: subscription-time,has_cornerstone,perf_3m_pct,binary,246,,0.6942584101296225,,,179.0,67.0,47.170318943400865,55.22902207144683,-8.058703128045963
A: subscription-time,has_cornerstone,ipo_perf_1y_pct,binary,177,,0.4229888761558107,,,129.0,48.0,15.907370635658918,51.864324854166675,-35.95695421850776
A: subscription-time,lead_broker_is_global_bank,day1_performance_pct,binary,248,,0.005665225690539828,,,58.0,190.0,6.623448275862071,22.79947368421053,-16.17602540834846
A: subscription-time,lead_broker_is_global_bank,perf_1m_pct,binary,246,,0.0024665274292781938,,,57.0,189.0,7.530701019495203,34.41266848953232,-26.881967470037118
