stock_code,company_name,ipo_date,doc_type,headline,url,resolved_from_htm_index,release_date,local_path,downloaded
02411,Shenzhen Pagoda Industrial (Group) Corporation Limited,2023-01-16,prospectus,Listing Documents - [Offer for Subscription] - GLOBAL OFFERING,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1229/10554362/2022122900163.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1229/2022122900158.htm,2022-12-29 06:48:00,pdfs/02411/prospectus_1.pdf,True
02411,Shenzhen Pagoda Industrial (Group) Corporation Limited,2023-01-16,prospectus,Listing Documents - [Offer for Subscription] - GREEN APPLICATION FORM,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1229/2022122900315.pdf,,2022-12-29 06:53:00,pdfs/02411/prospectus_2.pdf,True
02411,Shenzhen Pagoda Industrial (Group) Corporation Limited,2023-01-16,allotment,Announcements and Notices - [Allotment Results] - Announcement of Offer Price and Allotment Results,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0113/10575581/2023011300020.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0113/2023011300018.htm,2023-01-13 06:14:00,pdfs/02411/allotment_0.pdf,True
02411,Shenzhen Pagoda Industrial (Group) Corporation Limited,2023-01-16,over_allotment_exercise,,,,,,False
02411,Shenzhen Pagoda Industrial (Group) Corporation Limited,2023-01-16,stabilization,"Announcements and Notices - [Other - Miscellaneous] - PARTIAL EXERCISE OF THE OVER-ALLOTMENT OPTION, STABILIZING ACTIONS AND END OF STABILIZATION PERIOD",https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0208/2023020800810.pdf,,2023-02-08 22:50:00,pdfs/02411/stabilization_0.pdf,True
02373,Beauty Farm Medical and Health Industry Inc.,2023-01-16,prospectus,Listing Documents - [Offer for Subscription] - GLOBAL OFFERING,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1230/2022123000067.pdf,,2022-12-30 06:23:00,pdfs/02373/prospectus_0.pdf,True
02373,Beauty Farm Medical and Health Industry Inc.,2023-01-16,prospectus,Listing Documents - [Offer for Subscription] - GREEN APPLICATION FORM,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1230/2022123000069.pdf,,2022-12-30 06:24:00,pdfs/02373/prospectus_1.pdf,True
02373,Beauty Farm Medical and Health Industry Inc.,2023-01-16,allotment,Announcements and Notices - [Allotment Results] - ANNOUNCEMENT OF ALLOTMENT RESULTS,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0113/10575585/2023011300034.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0113/2023011300032.htm,2023-01-13 06:17:00,pdfs/02373/allotment_0.pdf,True
02373,Beauty Farm Medical and Health Industry Inc.,2023-01-16,over_allotment_exercise,,,,,,False
02373,Beauty Farm Medical and Health Industry Inc.,2023-01-16,stabilization,"Announcements and Notices - [Other - Miscellaneous] - FULL EXERCISE OF THE OVER-ALLOTMENT OPTION, STABILIZING ACTIONS AND END OF STABILIZATION PERIOD",https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0205/2023020500007.pdf,,2023-02-05 18:06:00,pdfs/02373/stabilization_0.pdf,True
